level,id,field,n_unique,values
sample,11c6a06c-f0e0-45bc-b5ec-1b14445548d4,Processing_Cohort,2,1.0 | 2.0
sample,13ec931d-a536-4679-ad6c-39d7bbaa8d5d,Processing_Cohort,2,1.0 | 2.0
sample,2688f505-eb1a-4f9f-af54-e30b3da7dff3,Processing_Cohort,2,2.0 | 4.0
sample,27ae3b51-85d4-49fe-bcc3-89b0cbd59e23,Processing_Cohort,2,3.0 | 4.0
sample,27b03089-9abd-4025-b745-1a4d42f729a3,Processing_Cohort,2,2.0 | 3.0
sample,2c6239f0-efd3-469e-86aa-554f62dfb4f8,Processing_Cohort,2,2.0 | 3.0
sample,342b5092-67e5-4a0e-a437-8b735f2a863c,Processing_Cohort,2,2.0 | 4.0
sample,3672d82d-f24c-4536-b75a-0627889e1426,Processing_Cohort,2,1.0 | 2.0
sample,3876bd23-e063-4b96-89ae-eec693743c86,Processing_Cohort,2,1.0 | 2.0
sample,3ecf5ad3-4ae3-4152-a1d2-4c9c548c5551,Processing_Cohort,2,2.0 | 4.0
sample,3f068829-713e-4b6a-a79a-754b7d9eef46,Processing_Cohort,2,2.0 | 4.0
sample,3ff8915f-d4b6-418d-89ec-61fffb366646,Processing_Cohort,2,2.0 | 4.0
sample,46e6ff98-de92-4b09-98ae-ff683d6ed775,Processing_Cohort,2,2.0 | 4.0
sample,4752a18e-a3a0-4699-99e8-18c7fee59072,Processing_Cohort,3,1.0 | 2.0 | 3.0
sample,4a555a89-3c4e-4e35-91ed-eed175492e5d,Processing_Cohort,2,2.0 | 4.0
sample,4e63511b-e07c-4fe2-af13-d535b769bbbd,Processing_Cohort,2,2.0 | 3.0
sample,4f96324f-0403-4ba1-b110-02c96a5cba84,Processing_Cohort,2,3.0 | 4.0
sample,577bce84-8d37-4851-9fb4-53f9467699ba,Processing_Cohort,2,2.0 | 4.0
sample,58491584-2df2-4f81-829b-6f930c4d8649,Processing_Cohort,2,3.0 | 4.0
sample,5a4d2669-4967-4de5-853b-13c224029d30,Processing_Cohort,2,2.0 | 4.0
sample,5e0ed28c-a75a-4ecd-a0c7-49e71264690b,Processing_Cohort,2,2.0 | 4.0
sample,5f31d290-7101-4ef4-9510-f3692aba34de,Processing_Cohort,3,1.0 | 2.0 | 3.0
sample,670c5ac9-5e1c-4834-8087-2dd39d87d04b,Processing_Cohort,2,2.0 | 4.0
sample,6779676d-7bac-4431-bbb0-0b7c773b55da,Processing_Cohort,2,2.0 | 4.0
sample,69b3abaf-0498-44c8-867f-086ccc8dce13,Processing_Cohort,2,2.0 | 4.0
sample,77712740-d29f-4bb0-9b90-2aa3db72f3ba,Processing_Cohort,2,1.0 | 2.0
sample,7b7167c1-bc81-4fa8-b322-18bab1ea6269,Processing_Cohort,2,2.0 | 4.0
sample,7eff9450-2afd-4265-a1f4-4c53580b47bc,Processing_Cohort,2,2.0 | 4.0
sample,886dc81a-06f7-47dc-bdf6-da1524e86d7d,Processing_Cohort,2,1.0 | 2.0
sample,8a1f4cc3-6e34-4cd2-aba9-0f4d266e7dd9,Processing_Cohort,2,2.0 | 4.0
sample,9245fdfa-904c-4421-ba87-60da990f40ed,Processing_Cohort,3,1.0 | 2.0 | 3.0
sample,9258d552-bade-4414-ad62-96fea54df354,Processing_Cohort,2,2.0 | 4.0
sample,92d39096-b1d1-4746-9812-474db1f5f049,Processing_Cohort,2,2.0 | 4.0
sample,98e974a9-c08e-4066-8930-d627b18f1a89,Processing_Cohort,2,1.0 | 2.0
sample,9e51b938-f3a9-4d97-8802-b820ed2a6b96,Processing_Cohort,2,2.0 | 4.0
sample,a51ffc5a-e4cb-4b47-9154-4514e1dc9d65,Processing_Cohort,3,1.0 | 2.0 | 3.0
sample,b4cbfe6a-acdc-48e8-a9f1-6f0ae959301f,Processing_Cohort,2,2.0 | 4.0
sample,b7c8655d-8d5e-4865-bc97-3c606cdaf5e9,Processing_Cohort,2,1.0 | 2.0
sample,bffca8a1-fc84-4f20-acae-3cf0d6313002,Processing_Cohort,3,1.0 | 2.0 | 3.0
sample,c21e0e54-2ea8-4fc7-9438-5d2d8d63899c,Processing_Cohort,2,2.0 | 4.0
sample,ccccc606-2c86-4d7a-bb4a-8354017807a6,Processing_Cohort,2,2.0 | 4.0
sample,cf0f9104-fd3e-4cdd-ad08-69035510a32d,Processing_Cohort,2,1.0 | 2.0
sample,d0660ae1-7bd5-4f68-9131-434571c29e96,Processing_Cohort,2,2.0 | 3.0
sample,d0bbdc84-7f92-4114-9759-59d158034879,Processing_Cohort,2,2.0 | 4.0
sample,d65c2394-3eed-48b8-8a26-5f214003f312,Processing_Cohort,3,1.0 | 2.0 | 3.0
sample,e0286325-9289-4765-af44-1bded6b1d3df,Processing_Cohort,2,1.0 | 2.0
sample,e869b441-83d5-44d3-abc7-1a970170e1e4,Processing_Cohort,2,2.0 | 4.0
sample,e9cf8f89-d60a-4584-951b-ae7df22cf6d7,Processing_Cohort,2,2.0 | 3.0
sample,f0a33a73-192b-4398-b8bc-05eb0c59ae54,Processing_Cohort,3,1.0 | 2.0 | 3.0
sample,f3091b7a-a59b-4bee-a4c4-c930424b63f3,Processing_Cohort,2,1.0 | 2.0
sample,f6f39d84-6fb4-4519-9efa-f9ca4651e3c9,Processing_Cohort,2,2.0 | 3.0
sample,fc11ebf7-2767-4d92-96f9-a57af8f1be30,Processing_Cohort,2,2.0 | 4.0
